job_id,pending_time,total_executed_time,progress,submit_time,end_time,preempt,resume,num_gpu,expect_time,expect_time_list,expect_value_list,miss_ddl,gt_miss_ddl,gt_expect_time,best_effort,duration,queue_priority
141,3576,28937,28937.0,3824184,3856697.5,60,61,1,35736,35900,10,0.0,0,35900,0,28907,0
142,77805,32,32.0,3829875,3907712.5,0,1,1,41,41,10,1,1,41,0,32,-1
143,3,33345,33345.0,3832797,3866145.5,138,139,1,36090,36090,10,0.0,0,36090,0,33276,1
144,86653,13979,13979.0,3834467,3935099.5,58,59,1,8132,8132,10,1,1,8132,0,13950,-1
145,78705,5656,5656.0,3834495,3918856.0,23,24,1,4471,4471,10,1,1,4471,0,5644,-1
146,83494,622967,622967.0,3834506,4540967.0,2595,2596,1,456748,456748,10,1,1,456748,0,621669,-1
147,74629,709026,709026.0,3844331,4627986.5,2954,2955,1,552009,552009,10,1,1,552009,0,707549,-1
148,59426,32,32.0,3850654,3910112.5,0,1,1,19,19,10,1,1,19,0,32,-1
149,59881,32,32.0,3850679,3910592.5,0,1,1,24,24,10,1,1,24,0,32,-1
150,64657,4469,4469.0,3850703,3919829.5,18,19,1,4379,4379,10,1,1,4379,0,4460,-1
151,61730,4469,4469.0,3850750,3916949.5,18,19,1,2972,2972,10,1,1,2972,0,4460,-1
152,18,13979,13979.0,3851262,3865259.5,58,59,1,15438,15438,10,0.0,0,15438,0,13950,1
153,62650,4469,4469.0,3851270,3918389.5,18,19,1,3225,3225,10,1,1,3225,0,4460,-1
154,63608,4469,4469.0,3851272,3919349.5,18,19,1,3691,3691,10,1,1,3691,0,4460,-1
155,64534,32,32.0,3854186,3918752.5,0,1,1,33,33,10,1,1,33,0,32,-1
156,2112,28937,28937.0,3854208,3885257.5,60,61,1,34272,34357,10,0.0,0,34357,0,28907,0
157,3291,13965,13965.0,3854229,3871485.0,29,30,1,19131,19306,10,0.0,0,19306,0,13950,0
158,65320,709026,709026.0,3858680,4633026.5,2954,2955,1,631586,631586,10,1,1,631586,0,707549,-1
159,731,13965,13965.0,3859669,3874365.0,29,30,1,16571,16691,10,0.0,0,16691,0,13950,0
160,59512,32,32.0,3859688,3919232.5,0,1,1,45,45,10,1,1,45,0,32,-1
161,54689,622317,622317.0,3859711,4536717.5,1296,1297,1,740369,740428,10,0.0,0,740428,0,621669,0
162,51834,622967,622967.0,3860166,4534967.0,2595,2596,1,383394,383394,10,1,1,383394,0,621669,-1
163,61169,622967,622967.0,3860191,4544327.0,2595,2596,1,506604,506604,10,1,1,506604,0,621669,-1
164,1628,5650,5650.0,3860212,3867490.0,11,12,1,8108,8141,10,0.0,0,8141,0,5644,0
165,63327,5656,5656.0,3860913,3929896.0,23,24,1,3050,3050,10,1,1,3050,0,5644,-1
166,2345,23021,23021.0,3860935,3886301.0,47,48,1,28025,28099,10,0.0,0,28099,0,22997,0
